date,time,tag,detail
"2026-08-21","13:37:33","[ANPR_EVENT]","plate=3507УЕН  conf=94%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:37:32","[ANPR_EVENT]","plate=1178УБД  conf=94%  dir=enter  lot=""Гэгээнтэн урд""  cam=74"
"2026-08-21","13:37:31","[ANPR_EVENT]","plate=7664УНҮ  conf=94%  dir=enter  lot=""3-р эмнэлэг""  cam=48"
"2026-08-21","13:37:26","[ANPR_EVENT]","plate=0579УКК  conf=94%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:37:21","[ANPR_EVENT]","plate=3317УЕИ  conf=94%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:37:13","[ANPR_EVENT]","plate=9206УБХ  conf=98%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:37:02","[ANPR_EVENT]","plate=5915ОРБ  conf=90%  dir=exit  lot=""ҮЦХ-Баруун""  cam=60"
"2026-08-21","13:37:01","[ANPR_EVENT]","plate=3025УКА  conf=94%  dir=enter  lot=""Морьтон""  cam=40"
"2026-08-21","13:36:59","[ANPR_EVENT]","plate=4050УЕВ  conf=94%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:36:58","[ANPR_EVENT]","plate=2636УАО  conf=90%  dir=enter  lot=""Барилгачдын талбай""  cam=61"
"2026-08-21","13:36:52","[ANPR_EVENT]","plate=0097УБА  conf=82%  dir=enter  lot=""3-р эмнэлэг""  cam=50"
"2026-08-21","13:36:41","[ANPR_EVENT]","plate=2227АИ  conf=34%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:36:30","[ANPR_EVENT]","plate=2407УЕУ  conf=90%  dir=enter  lot=""3-р эмнэлэг""  cam=50"
"2026-08-21","13:36:25","[ANPR_EVENT]","plate=3531УБЗ  conf=94%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:36:24","[ANPR_EVENT]","plate=5769АРА  conf=98%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:36:19","[ANPR_EVENT]","plate=0270УКУ  conf=90%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:36:09","[ANPR_EVENT]","plate=1989УБҮ  conf=90%  dir=enter  lot=""Ялалт""  cam=28"
